,Region/Group,Country Code,year,population,gdp,co2,co2_per_capita,co2_per_gdp,co2_per_unit_energy,energy_per_gdp
484,Africa,AFR,1960,283922289.0,,156.567,0.552,0.345,,
485,Africa,AFR,1961,290814083.0,,161.994,0.558,0.349,,
486,Africa,AFR,1962,297959967.0,,166.335,0.559,0.346,,
487,Africa,AFR,1963,305371382.0,,176.335,0.578,0.342,,
488,Africa,AFR,1964,313060731.0,,193.639,0.619,0.356,,
489,Africa,AFR,1965,321013569.0,,213.634,0.667,0.373,0.437,
490,Africa,AFR,1966,329252360.0,,221.082,0.673,0.375,0.437,
491,Africa,AFR,1967,337851070.0,,237.045,0.703,0.395,0.468,
492,Africa,AFR,1968,346800965.0,,257.271,0.743,0.41,0.479,
493,Africa,AFR,1969,356032572.0,,277.717,0.781,0.41,0.515,
494,Africa,AFR,1970,365552194.0,,302.406,0.829,0.411,0.521,
495,Africa,AFR,1971,375326467.0,,331.613,0.885,0.43,0.535,
496,Africa,AFR,1972,385312221.0,,351.688,0.914,0.438,0.539,
497,Africa,AFR,1973,395821972.0,,377.821,0.956,0.452,0.543,
498,Africa,AFR,1974,406870347.0,,388.183,0.956,0.44,0.531,
499,Africa,AFR,1975,418433494.0,,387.017,0.926,0.436,0.49,
500,Africa,AFR,1976,430496972.0,,419.915,0.977,0.445,0.492,
501,Africa,AFR,1977,442660474.0,,432.919,0.979,0.441,0.484,
502,Africa,AFR,1978,455539246.0,,462.339,1.016,0.459,0.5,
503,Africa,AFR,1979,469198447.0,,498.987,1.065,0.472,0.499,
504,Africa,AFR,1980,483051703.0,,536.023,1.111,0.485,0.303,
505,Africa,AFR,1981,497620997.0,,548.882,1.105,0.491,0.284,
506,Africa,AFR,1982,512958818.0,,571.969,1.117,0.497,0.279,
507,Africa,AFR,1983,528232712.0,,594.811,1.128,0.513,0.28,
508,Africa,AFR,1984,543638102.0,,649.591,1.197,0.547,0.293,
509,Africa,AFR,1985,559664031.0,,666.142,1.192,0.541,0.29,
510,Africa,AFR,1986,575967283.0,,690.176,1.2,0.549,0.293,
511,Africa,AFR,1987,592601301.0,,690.283,1.167,0.542,0.286,
512,Africa,AFR,1988,609387686.0,,725.373,1.192,0.545,0.281,
513,Africa,AFR,1989,626359180.0,,698.583,1.117,0.509,0.269,
514,Africa,AFR,1990,643775320.0,,658.344,1.024,0.473,0.246,
515,Africa,AFR,1991,661103806.0,,687.67,1.042,0.479,0.256,
516,Africa,AFR,1992,678558076.0,,666.66,0.984,0.457,0.245,
517,Africa,AFR,1993,696621727.0,,706.442,1.016,0.472,0.26,
518,Africa,AFR,1994,714502658.0,,790.234,1.108,0.506,0.284,
519,Africa,AFR,1995,732695476.0,,844.549,1.154,0.516,0.29,
520,Africa,AFR,1996,751473728.0,,872.284,1.162,0.496,0.292,
521,Africa,AFR,1997,770384702.0,,893.938,1.162,0.482,0.294,
522,Africa,AFR,1998,789981698.0,,912.482,1.157,0.467,0.299,
523,Africa,AFR,1999,810079818.0,,899.879,1.112,0.439,0.284,
524,Africa,AFR,2000,830582806.0,,930.851,1.122,0.429,0.285,
525,Africa,AFR,2001,851690329.0,,920.602,1.082,0.398,0.272,
526,Africa,AFR,2002,873411364.0,,899.996,1.032,0.364,0.262,
527,Africa,AFR,2003,895734453.0,,989.645,1.106,0.374,0.275,
528,Africa,AFR,2004,918778450.0,,1045.726,1.14,0.367,0.274,
529,Africa,AFR,2005,942546623.0,,1059.372,1.126,0.345,0.273,
530,Africa,AFR,2006,966932346.0,,1091.176,1.13,0.329,0.276,
531,Africa,AFR,2007,992055831.0,,1116.9,1.127,0.31,0.275,
532,Africa,AFR,2008,1018065513.0,,1174.755,1.156,0.301,0.27,
533,Africa,AFR,2009,1044777740.0,,1168.25,1.12,0.283,0.27,
534,Africa,AFR,2010,1072216718.0,,1216.669,1.136,0.271,0.269,
535,Africa,AFR,2011,1100148882.0,,1257.421,1.145,0.272,0.27,
536,Africa,AFR,2012,1128843697.0,,1268.948,1.126,0.259,0.263,
537,Africa,AFR,2013,1158780551.0,,1282.542,1.108,0.253,0.255,
538,Africa,AFR,2014,1189220573.0,,1357.349,1.143,0.257,0.26,
539,Africa,AFR,2015,1220075728.0,,1332.662,1.094,0.245,0.256,
540,Africa,AFR,2016,1251208654.0,,1375.131,1.1,0.248,0.256,
541,Africa,AFR,2017,1282902302.0,,1393.216,1.087,0.243,0.255,
542,Africa,AFR,2018,1315409965.0,,1386.654,1.055,0.234,0.25,
543,Africa,AFR,2019,1348005687.0,,1479.412,1.099,0.242,0.26,
544,Africa,AFR,2020,1380821355.0,,1355.782,0.983,0.227,0.25,
545,Africa,AFR,2021,1413753270.0,,1441.534,1.021,0.229,0.256,
546,Africa,AFR,2022,1446883817.0,,1432.503,0.991,0.22,0.414,
547,Africa,AFR,2023,1480770740.0,,1418.739,0.959,,0.415,
2876,Asia,ASI,1960,1691762689.0,,1538.649,0.909,0.568,,
2877,Asia,ASI,1961,1718156542.0,,1393.511,0.811,0.512,,
2878,Asia,ASI,1962,1753318917.0,,1342.609,0.766,0.465,,
2879,Asia,ASI,1963,1799305118.0,,1423.141,0.791,0.457,,
2880,Asia,ASI,1964,1847441779.0,,1507.418,0.816,0.442,,
2881,Asia,ASI,1965,1894030096.0,,1649.873,0.871,0.459,0.323,
2882,Asia,ASI,1966,1940186410.0,,1797.063,0.926,0.473,0.32,
2883,Asia,ASI,1967,1986308204.0,,1825.098,0.919,0.455,0.313,
2884,Asia,ASI,1968,2034769705.0,,2015.996,0.991,0.472,0.322,
2885,Asia,ASI,1969,2085428644.0,,2289.412,1.098,0.488,0.317,
2886,Asia,ASI,1970,2136911800.0,,2697.75,1.262,0.525,0.327,
2887,Asia,ASI,1971,2187672734.0,,2953.393,1.35,0.545,0.328,
2888,Asia,ASI,1972,2237825637.0,,3129.125,1.398,0.548,0.324,
2889,Asia,ASI,1973,2288852578.0,,3351.564,1.464,0.506,0.322,
2890,Asia,ASI,1974,2339398093.0,,3411.199,1.458,0.539,0.322,
2891,Asia,ASI,1975,2388510796.0,,3577.897,1.498,0.539,0.322,
2892,Asia,ASI,1976,2436467523.0,,3803.975,1.561,0.55,0.323,
2893,Asia,ASI,1977,2484229194.0,,4048.552,1.63,0.554,0.324,
2894,Asia,ASI,1978,2531837751.0,,4230.989,1.671,0.544,0.319,
2895,Asia,ASI,1979,2580755579.0,,4405.182,1.707,0.543,0.317,
2896,Asia,ASI,1980,2631643578.0,,4399.586,1.672,0.493,0.304,
2897,Asia,ASI,1981,2683999130.0,,4373.089,1.629,0.473,0.298,
2898,Asia,ASI,1982,2738669561.0,,4522.608,1.651,0.468,0.301,
2899,Asia,ASI,1983,2794057024.0,,4704.945,1.684,0.464,0.296,
2900,Asia,ASI,1984,2849479890.0,,4979.162,1.747,0.465,0.294,
2901,Asia,ASI,1985,2906232637.0,,5269.918,1.813,0.47,0.27,
2902,Asia,ASI,1986,2964898212.0,,5495.256,1.853,0.471,0.27,
2903,Asia,ASI,1987,3025641761.0,,5730.537,1.894,0.464,0.264,
2904,Asia,ASI,1988,3086642984.0,,6189.667,2.005,0.472,0.267,
2905,Asia,ASI,1989,3147693774.0,,6405.749,2.035,0.471,0.264,
2906,Asia,ASI,1990,3209094416.0,,6584.308,2.052,0.462,0.262,
2907,Asia,ASI,1991,3268207591.0,,7361.138,2.252,0.499,0.28,
2908,Asia,ASI,1992,3324812376.0,,7209.855,2.168,0.467,0.259,
2909,Asia,ASI,1993,3380039932.0,,7540.911,2.231,0.464,0.259,
2910,Asia,ASI,1994,3433680246.0,,7895.757,2.3,0.465,0.258,
2911,Asia,ASI,1995,3486817941.0,,8265.562,2.371,0.458,0.259,
2912,Asia,ASI,1996,3539849815.0,,8605.014,2.431,0.45,0.258,
2913,Asia,ASI,1997,3592367924.0,,8723.257,2.428,0.441,0.254,
2914,Asia,ASI,1998,3644341777.0,,8481.06,2.327,0.428,0.247,
2915,Asia,ASI,1999,3695620593.0,,8971.64,2.428,0.437,0.253,
2916,Asia,ASI,2000,3746832774.0,,9336.837,2.492,0.431,0.253,
2917,Asia,ASI,2001,3797954098.0,,9521.609,2.507,0.424,0.25,
2918,Asia,ASI,2002,3847359676.0,,10040.597,2.61,0.426,0.251,
2919,Asia,ASI,2003,3895799452.0,,11046.249,2.835,0.443,0.256,
2920,Asia,ASI,2004,3944378409.0,,11699.782,2.966,0.439,0.247,
2921,Asia,ASI,2005,3992890562.0,,12552.623,3.144,0.44,0.246,
2922,Asia,ASI,2006,4041771421.0,,13404.329,3.316,0.437,0.249,
2923,Asia,ASI,2007,4090564354.0,,14136.139,3.456,0.43,0.247,
2924,Asia,ASI,2008,4139267473.0,,14858.406,3.59,0.433,0.251,
2925,Asia,ASI,2009,4188829442.0,,15394.146,3.675,0.433,0.255,
2926,Asia,ASI,2010,4238694946.0,,16554.266,3.906,0.43,0.258,
2927,Asia,ASI,2011,4288349990.0,,17787.42,4.148,0.437,0.264,
2928,Asia,ASI,2012,4338443549.0,,18455.439,4.254,0.43,0.264,
2929,Asia,ASI,2013,4387757389.0,,18692.012,4.26,0.413,0.261,
2930,Asia,ASI,2014,4435744582.0,,18940.043,4.27,0.397,0.257,
2931,Asia,ASI,2015,4482088478.0,,19047.488,4.25,0.379,0.254,
2932,Asia,ASI,2016,4527178156.0,,19192.705,4.239,0.362,0.252,
