,Region/Group,Country Code,Year,Continent,Population,CO2,Per Capita CO2,Cumulative CO2,Emissions Category,CO2 Log,Pop Log,Pop Outliers,Pop Category
0,Africa,AFR,1960,Africa,283922289.0,156.567,5.514431450642469e-07,49714.657,Low,5.059850764635507,19.464211131922283,not outlier,100M-1B
1,Africa,AFR,1961,Africa,290814083.0,161.994,5.570362973102648e-07,49714.657,Low,5.093713390313313,19.488194734362818,not outlier,100M-1B
2,Africa,AFR,1962,Africa,297959967.0,166.335,5.582461351259312e-07,49714.657,Low,5.11999779113338,19.51246969987538,not outlier,100M-1B
3,Africa,AFR,1963,Africa,305371382.0,176.335,5.774444181544164e-07,49714.657,Low,5.17804059912561,19.53703924301849,not outlier,100M-1B
4,Africa,AFR,1964,Africa,313060731.0,193.639,6.185349385132561e-07,49714.657,Low,5.2711465607719745,19.561907761631545,not outlier,100M-1B
5,Africa,AFR,1965,Africa,321013569.0,213.634,6.654983484514325e-07,49714.657,Low,5.368934251943576,19.586993954344067,not outlier,100M-1B
6,Africa,AFR,1966,Africa,329252360.0,221.082,6.714667132530197e-07,49714.657,Low,5.403046683041577,19.61233506940478,not outlier,100M-1B
7,Africa,AFR,1967,Africa,337851070.0,237.045,7.016257192851276e-07,49714.657,Low,5.472459731429183,19.63811573800331,not outlier,100M-1B
8,Africa,AFR,1968,Africa,346800965.0,257.271,7.418404963204182e-07,49714.657,Low,5.554009421247463,19.66426158833391,not outlier,100M-1B
9,Africa,AFR,1969,Africa,356032572.0,277.717,7.800325639868703e-07,49714.657,Low,5.63019693011597,19.6905327818217,not outlier,100M-1B
10,Africa,AFR,1970,Africa,365552194.0,302.406,8.272580631809859e-07,49714.657,Low,5.715071842592327,19.716919631336097,not outlier,100M-1B
11,Africa,AFR,1971,Africa,375326467.0,331.613,8.835321490930188e-07,49714.657,Low,5.806979651984166,19.743306786531885,not outlier,100M-1B
12,Africa,AFR,1972,Africa,385312221.0,351.688,9.127351296755262e-07,49714.657,Low,5.865583813413982,19.769564529830383,not outlier,100M-1B
13,Africa,AFR,1973,Africa,395821972.0,377.821,9.545225549025358e-07,49714.657,Low,5.937063798001258,19.79647510500364,not outlier,100M-1B
14,Africa,AFR,1974,Africa,406870347.0,388.183,9.540705113120471e-07,49714.657,Low,5.96404967001564,19.8240051373748,not outlier,100M-1B
15,Africa,AFR,1975,Africa,418433494.0,387.017,9.249187876915035e-07,49714.657,Low,5.961049153096439,19.85202852248208,not outlier,100M-1B
16,Africa,AFR,1976,Africa,430496972.0,419.915,9.75419172054014e-07,49714.657,Low,6.042430913060255,19.880450850448455,not outlier,100M-1B
17,Africa,AFR,1977,Africa,442660474.0,432.919,9.779933502714317e-07,49714.657,Low,6.0728578807370495,19.908313612035926,not outlier,100M-1B
18,Africa,AFR,1978,Africa,455539246.0,462.339,1.0149268236704243e-06,49714.657,Low,6.138458967597667,19.93699243341135,not outlier,100M-1B
19,Africa,AFR,1979,Africa,469198447.0,498.987,1.063488174759453e-06,49714.657,Low,6.214582098084186,19.96653636698024,not outlier,100M-1B
20,Africa,AFR,1980,Africa,483051703.0,536.023,1.1096596837792332e-06,49714.657,Low,6.286040924131701,19.995634253506708,not outlier,100M-1B
21,Africa,AFR,1981,Africa,497620997.0,548.882,1.103012138372449e-06,49714.657,Low,6.309703709753802,20.025349297051964,not outlier,100M-1B
22,Africa,AFR,1982,Africa,512958818.0,571.969,1.1150388294913766e-06,49714.657,Low,6.350831614029575,20.055706125059043,not outlier,100M-1B
23,Africa,AFR,1983,Africa,528232712.0,594.811,1.1260396913851107e-06,49714.657,Low,6.389923502680084,20.08504748888947,not outlier,100M-1B
24,Africa,AFR,1984,Africa,543638102.0,649.591,1.194896011906097e-06,49714.657,Low,6.477881180559001,20.113794331603792,not outlier,100M-1B
25,Africa,AFR,1985,Africa,559664031.0,666.142,1.190253371848369e-06,49714.657,Low,6.503002916810231,20.142847218798597,not outlier,100M-1B
26,Africa,AFR,1986,Africa,575967283.0,690.176,1.1982902855265132e-06,49714.657,Low,6.538394494664793,20.171561418435953,not outlier,100M-1B
27,Africa,AFR,1987,Africa,592601301.0,690.283,1.164835444733524e-06,49714.657,Low,6.538549291299216,20.20003239019886,not outlier,100M-1B
28,Africa,AFR,1988,Africa,609387686.0,725.373,1.190330911937725e-06,49714.657,Low,6.588063656992753,20.227965219191965,not outlier,100M-1B
29,Africa,AFR,1989,Africa,626359180.0,698.583,1.1153073544799008e-06,49714.657,Low,6.550484443249435,20.2554345360859,not outlier,100M-1B
30,Africa,AFR,1990,Africa,643775320.0,658.344,1.0226300691365429e-06,49714.657,Low,6.491245401341219,20.28286034276091,not outlier,100M-1B
31,Africa,AFR,1991,Africa,661103806.0,687.67,1.0401846030213293e-06,49714.657,Low,6.534762201270815,20.309421430871403,not outlier,100M-1B
32,Africa,AFR,1992,Africa,678558076.0,666.66,9.824656482314124e-07,49714.657,Low,6.503779061925392,20.335480629744072,not outlier,100M-1B
33,Africa,AFR,1993,Africa,696621727.0,706.442,1.0140969949965398e-06,49714.657,Low,6.561655647358361,20.36175310691131,not outlier,100M-1B
34,Africa,AFR,1994,Africa,714502658.0,790.234,1.1059916868776716e-06,49714.657,Low,6.673593752084899,20.387097276810827,not outlier,100M-1B
35,Africa,AFR,1995,Africa,732695476.0,844.549,1.1526603175041304e-06,49714.657,Low,6.739986120532822,20.412240726052588,not outlier,100M-1B
36,Africa,AFR,1996,Africa,751473728.0,872.284,1.16076446520829e-06,49714.657,Low,6.772260817941876,20.43754680846242,not outlier,100M-1B
37,Africa,AFR,1997,Africa,770384702.0,893.938,1.160378701289424e-06,49714.657,Low,6.796754442132302,20.462400562332057,not outlier,100M-1B
38,Africa,AFR,1998,Africa,789981698.0,912.482,1.1550672658748102e-06,49714.657,Low,6.817263671190429,20.487520337334225,not outlier,100M-1B
39,Africa,AFR,1999,Africa,810079818.0,899.879,1.110852264190095e-06,49714.657,Low,6.803370953362402,20.512643342751126,not outlier,100M-1B
40,Africa,AFR,2000,Africa,830582806.0,930.851,1.120720286136046e-06,49714.657,Low,6.837172930660186,20.53763818945235,not outlier,100M-1B
41,Africa,AFR,2001,Africa,851690329.0,920.602,1.0809116513990615e-06,49714.657,Low,6.826113460078161,20.562733556283792,not outlier,100M-1B
42,Africa,AFR,2002,Africa,873411364.0,899.996,1.0304377033500563e-06,49714.657,Low,6.80350081808683,20.587917211296542,not outlier,100M-1B
43,Africa,AFR,2003,Africa,895734453.0,989.645,1.1048419502961777e-06,49714.657,Low,6.898356246136292,20.61315455870987,not outlier,100M-1B
44,Africa,AFR,2004,Africa,918778450.0,1045.726,1.138169925513599e-06,49714.657,Low,6.9534224765255805,20.63855557508668,not outlier,100M-1B
45,Africa,AFR,2005,Africa,942546623.0,1059.372,1.1239465233328836e-06,49714.657,Low,6.9663750689361095,20.66409594449793,not outlier,100M-1B
46,Africa,AFR,2006,Africa,966932346.0,1091.176,1.128492602935428e-06,49714.657,Low,6.995927315479185,20.6896390892328,not outlier,100M-1B
47,Africa,AFR,2007,Africa,992055831.0,1116.9,1.1258438941628479e-06,49714.657,Low,7.01920720427628,20.715289945923423,not outlier,100M-1B
